Title,TITLE NAME,UnclassifiedSL,TITLE CODE,SG,JC,NU,FOC,LEVEL,STD. NO.,AGENCY CODE,NBR POS,DECNTRL. LVL.,DUTIES ONLY,SG_UNCLASS
Visiting Assoc P 10mo,Visiting Associate Professor (10 month) (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir College Hsng,Dir College and University Evaluation ,Evaluation ,3586600 ,64 ,0 ,06 ,1,J ,NA,11000 ,1 ,NA,N ,
Dir Phys Lab,Dir Rehab Hosp ,Hosp ,8260900 ,68 ,1 ,06 ,1,J ,8260900F,12030 ,1 ,NA,N ,
Research Assistant 08,Research Assistant (R3),(R3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Assoc Pr 10m,Clinical Associate Professor (10 month) (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Chemical Labs,Dir Of Claims ,Claims ,6803000 ,65 ,0 ,06 ,1,J ,6803050F,14010 ,1 ,NA,N ,
Assoc Dir Admn,Assoc Dir ,Dir ,1455750 ,NS ,2 ,06 ,1,J ,NA,XXXXX ,3 ,NA,N ,
Resch Assnt Prof-Gft,Research Assistant Professor (GFT) (G5),(G5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lead Prgmr Anlst,Lead Programmer-Analyst (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Asst Dean Nurs,Associate Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Instruc Support Spec,Instructional Support Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Associate Athletic Dir,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
T H Senr Staff Assoc,T.H. Senior Staff Associate (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Distinguished Librarian,Distinguished Chair in Geriatrics (C2),(C2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assnt Prof-10M,Research Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Profesor 12M,Clinical Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Physns Assnt 2,T.H. Physicians Assistant I (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Assnt Head Coach (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
T H Assoc Dir Soc Srv,T.H. Associate Director of Social Services (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nurse 3 Gertrc,Nurse 3 Geriatric ,Geriatric ,5500533 ,20 ,0 ,05 ,2,P ,5500528F,XXXXX ,22 ,NA,N ,
Plant Util Assnt,Plant Utilities Assnt ,Assnt ,7520010 ,09 ,0 ,03 ,7,J ,7520010F,XXXXX ,440 ,U ,Y ,
T H Patient Actg Sr S,T. H. Patient Accounting Senior Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Plant Util Engr 1,Plant Utilities Engineer 1 ,1 ,7520100 ,14 ,0 ,03 ,7,J ,7520100F,XXXXX ,951 ,U ,Y ,
Resch Assnt Prof-12M,Research Assistant Professor (12 month) (B5),(B5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc College Regstr,Associate College Registrar (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assoc Prof-12M,Research Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Stdnt Activities,Dir Adoption Services ,Services ,8141000 ,NS ,2 ,06 ,1,J ,NA,25000 ,1 ,NA,N ,
T H Med Rec Senr Spc,T.H. Medical Records Specialist (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Fac Prog Coord,Assnt Farm Products Inspector 1 ,1 ,1304101 ,NS ,1 ,05 ,3,S ,1304210F,06000 ,115 ,S ,Y ,
Senr Counselor,Senr Employment Counselor ,Counselor ,8405300 ,22 ,0 ,05 ,2,J ,8405200F,14020 ,19 ,S ,N ,
Clinical Assnt Pr 10m,Clinical Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Senr Fincl Analst,T.H. Senior Financial Analyst (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senior Counselor Special,Senior Counselor (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Dir Comty Rel,Assoc Dir ,Dir ,1455750 ,NS ,2 ,06 ,1,J ,NA,XXXXX ,3 ,NA,N ,
Telecommunctns Mgr 08,Telecommunications Manager (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Plant Util Engr 4,Plant Utilities Engineer 4 ,4 ,7520400 ,21 ,0 ,05 ,7,J ,7520100F,XXXXX ,17 ,S ,N ,
Clinical Assnt Pr 12m,Clinical Assistant Professor (12 month) (B5),(B5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Spec Stdnt Prgms,Dir Special Educ Services ,Services ,3508700 ,65 ,0 ,06 ,1,J ,3508700F,11000 ,1 ,NA,N ,
Affirm Actn Offr,Affirmative Action Officer (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Instrctr-Gft,Clinical Instructor (GFT) (G6),(G6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Dir Admissions,Assnt Dir Audits ,Audits ,0211800 ,63 ,0 ,06 ,1,J ,NA,XXXXX ,3 ,NA,N ,
Assoc Dir Alumni Aff,Assoc Dir ,Dir ,1455750 ,NS ,2 ,06 ,1,J ,NA,XXXXX ,3 ,NA,N ,
Instrcl Support Assoc,Instructional Support Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visiting Assnt P 12Mo,Visiting Assistant Professor (12 month) (B5),(B5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clinical Instrctr Hs,Clinical Instructor (HS) (C6),(C6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assistant Dean Special,Assistant Dean (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assoc Continuing Educ,Assoc In Continuing Educ ,Educ ,3596400 ,26 ,0 ,05 ,2,J ,3596425F,11000 ,12 ,NA,N ,
T H Qual Asur S Coord,T.H. Quality Assurance Coordinator (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Physicians Asst 2 Special,T.H. Physical Therapy Assistant I (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Physcl Ther 2,T.H. Physical Therapist III (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assoc Prof-12m,Research Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lecturer-12 Month,Lecturer (12 month) (B0),(B0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Security Srvs Assnt 1,Security Services Assnt 1 ,1 ,8731100 ,06 ,0 ,21 ,4,J ,8731100F,XXXXX ,418 ,U ,Y ,
Dir Comctn,Dir Communications ,Communications ,2259500 ,64 ,6 ,06 ,1,J ,NA,08000 ,1 ,NA,N ,
Senr Assnt Librn,Senr Business Mgt Assnt ,Assnt ,1901300 ,18 ,0 ,05 ,2,J ,1901300F,XXXXX ,11 ,NA,N ,
Assnt Univ Sys Anlst,Assnt Dir Agency Analysis ,Analysis ,0264800 ,NS ,2 ,06 ,1,J ,NA,02000 ,1 ,NA,N ,
Senr Staff Assnt,Senior Staff Assistant (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Student Union,Dir State Fair ,Fair ,2852900 ,NS ,2 ,06 ,1,J ,NA,06000 ,1 ,NA,N ,
Space S Lab,Special Subjects Coord ,Coord ,3928400 ,61 ,0 ,06 ,2,J ,NA,10160 ,1 ,NA,N ,
Gen Mechanic,Gen Manager Palisades Park ,Park ,1548901 ,NS ,5 ,99 ,1,J ,NA,49050 ,1 ,NA,N ,
Resch Assnt Prof-10m,Research Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Cts Insrv Educ 1,Assnt In Higher Educ ,Educ ,3535200 ,22 ,0 ,05 ,2,J ,3535200F,11000 ,6 ,S ,Y ,
Senr Academic Advisor,Senior Academic Advisor (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Clin Nutrtst 1,T.H. Clincal Nutritionist I (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Admissions,Dir Audits ,Audits ,0211960 ,67 ,0 ,06 ,1,J ,NA,XXXXX ,2 ,NA,N ,
Senr Fincl Aid Advsr,Senior Financial Aid Advisor (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Instrcl Support Tech,Instructional Support Technician (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Soc Wkr 1,T.H. Social Worker I (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Trades Generalist,Trades Generalist ,Generalist ,7120000 ,12 ,1 ,03 ,7,J ,7120000F,XXXXX ,2028 ,U ,Y ,
Assoc Fac Prgm Coord Spec,Assoc Consumer Frauds Rep ,Rep ,6640500 ,23 ,0 ,05 ,2,J ,6640300T,03000 ,1 ,NA,N ,
Assnt Dir Affirm Actn,Assnt Dir Benefit Admn ,Admn ,1406600 ,64 ,0 ,06 ,1,J ,NA,08000 ,3 ,NA,N ,
Div I Assnt Athletic Director,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Personnel Associate,Personnel Associate (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assoc Prof-10m,Research Associate Professor (10 month) (A4),(A4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Nrsng Admr,T.H. Nursing Administrator (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Educl Opptnty Prg,Dir Educ Dept Audits ,Audits ,0213800 ,64 ,0 ,06 ,1,J ,NA,11000 ,1 ,NA,N ,
Univ Affrmtv Act Asst,University Affirmative Action Assistant (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nurse Admr 1,Nurse Admr 1 ,1 ,5510701 ,20 ,0 ,05 ,2,J ,5510701F,XXXXX ,183 ,S ,Y ,
Counselor,Counselor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Instrucl Supprt Assnt,Instructional Support Assistant (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Occuptnl Ther,Senr Occupl Therapist ,Therapist ,5901300 ,18 ,0 ,05 ,2,J ,5900201F,XXXXX ,186 ,S ,Y ,
Head Janitor,Head Janitor ,Janitor ,3016600 ,15 ,0 ,03 ,8,J ,NA,XXXXX ,38 ,S ,N ,
Div I Assnt Head Coach,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Staff Assistant,Staff Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Assnt Prof-12m,Research Assistant Professor (12 month) (B5),(B5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Univ Data Base Admr,University Data Base Administrator (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Instrctr-Hs,Research Instructor (HS) (C6),(C6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Teaching&Rsch Ctr N 2,Teaching & Research Cntr Nurse 2 ,2 ,5506220 ,16 ,0 ,05 ,2,J ,5506210F,28XXX ,4959 ,S ,Y ,
Senr Lab Equip Desgnr,Senr Laboratory Equipment Designer ,Designer ,6216300 ,20 ,1 ,05 ,7,J ,6216200F,XXXXX ,13 ,S ,N ,
Visiting Assoc P 12Mo,Visiting Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dir Art Gallery,Dir State Library ,Library ,3603900 ,65 ,0 ,06 ,1,J ,NA,11000 ,1 ,NA,N ,
T H Soc Wkr 2,T.H. Social Worker I (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Occuptnl Therp 2,Senr Occupl Therapist ,Therapist ,5901300 ,18 ,0 ,05 ,2,J ,5900201F,XXXXX ,186 ,S ,Y ,
Visiting Librarian,Visiting Librarian,Librarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Admissions Advsr,Senior Admissions Advisor (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Dir Cmty Rel,Assnt Dir Community Residential Alternatives ,Alternatives ,5222300 ,64 ,0 ,06 ,2,J ,NA,50000 ,1 ,NA,N ,
Clinical Instrctr 12m,Clinical Instructor (12 month) (B6),(B6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Asst To Dir 13,Assnt Dir ,Dir ,2829865 ,NS ,2 ,56 ,1,J ,2829865F,XXXXX ,19 ,NA,N ,
Nursing Assnt Cert,Nursing Assnt Certified ,Certified ,5530210 ,08 ,1 ,04 ,5,J ,5530100F,XXXXX ,816 ,S ,Y ,
Staff Associate Special,Staff Associate (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Purch Agt,Senr Purchasing Agent ,Agent ,1803300 ,23 ,0 ,05 ,2,J ,1803100F,XXXXX ,9 ,NA,N ,
Campus Safty Spec,Campus Safety Specialist ,Specialist ,7867000 ,12 ,0 ,05 ,4,J ,7867000F,28XXX ,24 ,NA,N ,
Sr Staff Asst Spec,Senior Staff Associate (SL5),(SL5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Patient Actg Sp,T. H. Patient Accounting Senior Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Instructor 10 Months,Instructor (10 month) (A6),(A6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Academic Advisor,Academic Advisor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Electrician,Elections Specialist ,Specialist ,2869200 ,NS ,7 ,05 ,1,J ,NA,01540 ,6 ,NA,N ,
T H Staff Assnt 2,T.H. Staff Assistant I (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Rsch Ctr N 3,Fish Culturist 3 ,3 ,1629300 ,15 ,0 ,05 ,3,J ,1629100F,09000 ,12 ,NA,N ,
T H Senr Staff Assnt,T.H. Senior Staff Assistant (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Clin Nutrtst 2,T.H. Clincal Nutritionist I (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Dir Fincl Aide,Assnt Dir Financial Admn 1 ,1 ,0298100 ,25 ,0 ,05 ,1,J ,0298100F,XXXXX ,14 ,NA,N ,
Div I Assnt Coach (Rp),Diversity & Inclusion Specialist 1 ,1 ,1481100 ,18 ,0 ,06 ,2,J ,1481100F,08000 ,5 ,NA,N ,
Assnt Librarian 08,Assoc Librarian ,Librarian ,3601400 ,25 ,0 ,05 ,2,J ,3601400T,XXXXX ,3 ,NA,N ,
Assnt Univ Fin Anls,Assnt Engineer Civil ,Civil ,4063005 ,20 ,0 ,05 ,2,P ,4063005F,XXXXX ,61 ,S ,Y ,
T H Staff Assnt 1,T.H. Staff Assistant II (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Paralegal,Park Manager 1 ,1 ,1573100 ,18 ,0 ,05 ,1,J ,1573100F,49XXX ,91 ,S ,N ,
Clinical Physn Pt,Clinical Physn Pt ,Pt ,5252010 ,NS ,1 ,05 ,2,J ,5252000F,XXXXX ,19 ,S ,Y ,
Div I Assnt Coach,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Bus Driver,Bus Driver ,Driver ,7617200 ,08 ,1 ,03 ,8,J ,7617200F,XXXXX ,207 ,U ,Y ,
T H Fincl Analyst,Tax Policy Analyst 1 ,1 ,1790100 ,18 ,1 ,06 ,2,J ,1790100T,20010 ,9 ,NA,N ,
T H Instrctl Sup Asoc,T.H. Instructional Support Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt Alumni Affairs,Assnt Dir Animal Industry ,Industry ,1202800 ,64 ,1 ,06 ,1,J ,1201100F,06000 ,1 ,NA,N ,
Trans Supvr 1,Transportation Supvr 1 ,1 ,7324510 ,11 ,0 ,03 ,3,J ,7324510F,XXXXX ,23 ,S ,N ,
Assnt Instnl Rsch,Assnt Investment Officer ,Officer ,0104100 ,18 ,0 ,05 ,2,J ,0104100T,XXXXX ,23 ,S ,Y ,
Trades Spec Electrician,Trades Specialist Electrician ,Electrician ,7120120 ,12 ,1 ,03 ,7,P ,7120120F,XXXXX ,480 ,U ,Y ,
Clinical Assnt In Hs,Clinical Assistant Instructor (HS) (C7),(C7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Trans Supvr 2,Transportation Supvr 2 ,2 ,7324520 ,14 ,0 ,05 ,3,J ,7324510F,XXXXX ,8 ,NA,N ,
Purchase Associate,Purchase Associate (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Campus Pub Sfty Ofc,Campus Safety Specialist ,Specialist ,7867000 ,12 ,0 ,05 ,4,J ,7867000F,28XXX ,24 ,NA,N ,
Srvc&Repr Mechanic Hvac-R,Service & Repair Mechanic HVAC-R ,HVAC-R ,7347140 ,12 ,1 ,03 ,7,P ,7347140F,XXXXX ,129 ,U ,Y ,
Student U Assnt Dir,Student Assnt ,Assnt ,2883100 ,NS ,1 ,05 ,2,J ,2883100F,XXXXX ,1562 ,U ,Y ,
Assoc Tv Engr,Associate Television Engineer (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Sr Instrl Sup Sp,T.H. Senior Instructional Support Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Univ Police Comm&Sec Spec 1,University Police Communications & Security Spec 1 ,1 ,8750100 ,10 ,0 ,21 ,4,J ,8750100F,28XXX ,166 ,NA,N ,
Trades Specialist (Electrician,Trades Specialist Electrician ,Electrician ,7120120 ,12 ,1 ,03 ,7,P ,7120120F,XXXXX ,480 ,U ,Y ,
Laboratory Eq Desgnr,Laboratory Equipment Designer ,Designer ,6216200 ,17 ,1 ,05 ,3,J ,6216200F,XXXXX ,33 ,S ,N ,
Supvg Comptr Oper,Supvg Computer Operator ,Operator ,0821500 ,18 ,0 ,05 ,3,J ,0821200T,XXXXX ,117 ,NA,N ,
Stmfttr,Staff Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Student Actvts Ast Dr,Student Activities Assistant Director (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Instrctl Sup Spec,T.H. Instructional Support Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Programmer-Analyst,Programmer Analyst ,Analyst ,0821100 ,NS ,0 ,06 ,2,J ,NA,03020 ,3 ,NA,N ,
Clinical Instrctr 10m,Clinical Instructor (10 month) (A6),(A6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Refrig Mechanic,Research Assoc ,Assoc ,2459940 ,NS ,2 ,05 ,2,J ,2459940F,XXXXX ,32 ,NA,N ,
Nurse 1,Nurse 1 ,1 ,5500510 ,14 ,0 ,05 ,2,J ,5500510F,XXXXX ,430 ,S ,Y ,
Rsch Ctr N 2,Fish Culturist 2 ,2 ,1629200 ,13 ,0 ,03 ,3,J ,1629100F,XXXXX ,20 ,NA,N ,
Clinical Lectr Gft,Clinical Lecturer (A0),(A0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Admnv Staff Assnt,Admnv Assistant ,Assistant ,2900000 ,NS ,2 ,06 ,6,J ,2900000F,XXXXX ,483 ,NA,N ,
Project Director,Project Director (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Purchasing Agent,Purchasing Agent ,Agent ,1803200 ,18 ,0 ,05 ,2,J ,1803100F,XXXXX ,19 ,NA,N ,
Cleaner,Cleaner ,Cleaner ,3014000 ,05 ,3 ,03 ,8,J ,3014000F,XXXXX ,4866 ,U ,Y ,
Supvg Licnse Prac Nrs,Supvg Licensed Practical Nurse ,Nurse ,5500220 ,13 ,0 ,04 ,3,J ,5500220T,XXXXX ,87 ,NA,N ,
Supvg Janitor,Supvg Janitor ,Janitor ,3016500 ,11 ,0 ,03 ,8,J ,NA,XXXXX ,210 ,NA,N ,
Personnel Assistant,Personnel Assistant (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Carpenter,Canal Helper ,Helper ,7223100 ,NS ,3 ,23 ,8,S ,NA,55095 ,32 ,S ,N ,
Clinical Lectr-Hs,Clinical Lecturer (A0),(A0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lead Programmer Special,Lead Programmer-Analyst (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Coaching Assnt (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Visiting Assnt P 10mo,Visiting Assistant Professor (10 month) (A5),(A5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Univ Instrct Spec,T.H. Medical Instrumentation Senior Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Janitor,Janitor ,Janitor ,3016000 ,07 ,1 ,03 ,8,J ,3016000F,XXXXX ,943 ,U ,Y ,
Assistant Athletic Trainer,Assistant Athletic Trainer (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Financial Aid Advisor,Financial Aid Advisor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sr Career Pl&Dev Asso,Dir State Payroll Services ,Services ,0251900 ,NS ,2 ,06 ,1,J ,0201100F,02000 ,1 ,NA,N ,
Assnt Dir College Hsg,Assnt Dir Biological Sciences ,Sciences ,9202700 ,64 ,1 ,06 ,2,J ,9202600T,01060 ,1 ,NA,N ,
Assnt College Regstr,Assnt Forest Ranger ,Ranger ,1506000 ,NS ,0 ,21 ,4,S ,1506000F,09000 ,47 ,S ,Y ,
Senior Computer Oper,Senr Computer Operator ,Operator ,0821300 ,14 ,0 ,02 ,3,J ,0821200T,XXXXX ,168 ,NA,N ,
Small Bus Dv Sr Cnslt,Supvr Consumer & Facility Services ,Services ,8934500 ,23 ,0 ,05 ,2,J ,8934100F,23000 ,1 ,NA,N ,
Therapy Aide Physcl,Therapy Aide Physical ,Physical ,5703120 ,09 ,1 ,04 ,5,P ,5703110F,28XXX ,14 ,NA,N ,
Senr Comptr Oper,Senr Computer Operator ,Operator ,0821300 ,14 ,0 ,02 ,3,J ,0821200T,XXXXX ,168 ,NA,N ,
Comty Relations Assoc,Community Relations Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Admnv Assnt 2,Admnv Assistant 2 ,2 ,2900200 ,15 ,0 ,02 ,6,J ,2900100F,XXXXX ,1445 ,NA,N ,
Visiting Assnt Lib,Visiting Assistant Librarian,Librarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Laborer,Labor Services Rep ,Rep ,8407110 ,16 ,0 ,05 ,2,J ,8407110F,14020 ,875 ,S ,Y ,
Security Srvs Assnt 2,Security Services Assnt 2 ,2 ,8731200 ,09 ,0 ,21 ,4,J ,8731100F,XXXXX ,24 ,U ,Y ,
Instrcl Support Tech Special,Instructional Support Technician (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Secy 2,Secy Of State ,State ,0010900 ,OS ,4 ,06 ,1,A ,NA,19000 ,1 ,NA,N ,
Div I Ncaa Compliance Director,Diversity & Inclusion Specialist 1 ,1 ,1481100 ,18 ,0 ,06 ,2,J ,1481100F,08000 ,5 ,NA,N ,
Plumber&Stmfttr,Phlebotomist ,Phlebotomist ,6203200 ,08 ,1 ,04 ,8,J ,6203200F,XXXXX ,59 ,S ,Y ,
Div I Athletic Marketing Dir,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Post Doctoral Assoc,Post Doctoral Fellow ,Fellow ,6186300 ,NS ,1 ,05 ,2,J ,6186300F,12030 ,4 ,NA,N ,
Motor Eq Mtc Supvr 1,Motor Equipment Manager 1 ,1 ,7319100 ,61 ,0 ,06 ,2,J ,7319100F,XXXXX ,19 ,NA,N ,
Programmer-Analyst Special,Programmer Analyst ,Analyst ,0821100 ,NS ,0 ,06 ,2,J ,NA,03020 ,3 ,NA,N ,
Trades Spec Plmbr & Stmfitter,Trades Specialist Plumber & Steamfitter ,Steamfitter ,7120160 ,12 ,1 ,03 ,7,P ,7120160F,XXXXX ,290 ,U ,Y ,
Admissions Advisor,Admissions Advisor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Facility Operations Assnt 1,Facility Operations Assnt 1 ,1 ,3010100 ,06 ,3 ,03 ,8,J ,3010100F,XXXXX ,2824 ,S ,Y ,
Secy 1,Secy Of State ,State ,0010900 ,OS ,4 ,06 ,1,A ,NA,19000 ,1 ,NA,N ,
Painter,Pavement Marking Supvr ,Supvr ,6962600 ,11 ,1 ,03 ,8,J ,6962600F,17XXX ,19 ,S ,Y ,
Assoc Tv Engineer Spec,Assoc Employment Services Rep ,Rep ,8408400 ,23 ,0 ,05 ,2,J ,8408200F,14020 ,18 ,S ,N ,
T H Rec Therpy Assoc,T.H. Recreation Therapy Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assistant 3,Office Assnt 3 ,3 ,2581300 ,14 ,0 ,02 ,6,J ,2581100F,XXXXX ,403 ,NA,N ,
T H Pharm Assnt,T.H. Pharmacist (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assnt 3,Office Assnt 3 ,3 ,2581300 ,14 ,0 ,02 ,6,J ,2581100F,XXXXX ,403 ,NA,N ,
Motor Eq Mech,Motor Vehicle Rep ,Rep ,2540000 ,09 ,0 ,02 ,6,J ,2540000F,23000 ,2547 ,S ,Y ,
Admissions Assistant,Admissions Assistant (SL2)Admissions Intern (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
